ID,Roles,Funciones,Uso,Prioridad MOSCOW,Prioridad BV,Prioridad Urgencia,Prioridad,Tiempo,Estado
1,Usuario,Creacion de perfil.,Registrar cuenta y añadir información de mascotas.,Alto,5,5,"3,13",8,
2,Administrador,Gestion de usuarios.,"Aprobar, suspender o eliminar cuentas de usuarios.",Alto,5,5,"1,92",13,
3,Administrador,Soporte técnico.,Resolver problemas técnicos y atender consultas de usuarios.,Alto,5,5,"1,92",13,
4,Usuario,Publicidad de contenido.,"Compartir fotos, videos y actualizaciones sobre mascotas.",Alto,5,5,"1,92",13,
5,Usuario,Adopcion.,Buscar mascotas en adopción y contactar con protectoras.,Alto,5,5,"1,92",13,
6,Administrador,Gestion de protectoras.,Aprobar y administrar cuentas de organizaciones de adopción.,Medio,4,3,"1,5",8,
7,Usuario,Participación de eventos.,Unirse y participar en eventos de la comunidad.,Medio,3,2,"1,20",5,
8,Usuario,Acceso de ofertas.,Ver y aprovechar descuentos para productos y servicios.,Medio,3,2,"1,20",5,
9,Administrador,Moderación de contenido.,Revisar y eliminar publicaciones inapropiadas.,Medio,5,5,"1,19",21,
10,Administrador,Mantenimineto de la base de datos.,Asegurar la integridad y seguridad de los datos de usuarios y mascotas.,Medio,5,5,"1,19",21,
11,Usuario,Interacción social.,"Chatear, dar ""Me gusta"" y seguir a otros usuarios.",Medio,5,5,"1,19",21,
12,Usuario,Búsqueda de mascotas.,Encontrar otras mascotas por proximidad o tipo.,Medio,4,3,"0,92",13,
13,Administrador,Administración de ofertas.,Gestionar descuentos y promociones para usuarios.,Bajo,3,2,"0,75",8,
14,Usuario,Calendario de mascotas.,"Organizar citas veterinarias, paseos y otras actividades.",Bajo,3,2,"0,75",8,
15,Usuario,Geolocalización.,Encontrar servicios y amigos cercanos.,Bajo,4,3,"0,57",21,
16,Administrador,Gestión de eventos.,Crear y administrar eventos para la comunidad de mascotas.,Bajo,3,2,"0,46",13,
17,Administrador,Gestión de publicidad.,Administrar campañas publicitarias en la aplicación.,Bajo,3,2,"0,46",13,
18,Usuario,Creacion de grupos.,Formar comunidades basadas en intereses comunes.,Bajo,3,2,"0,46",13,
19,Administrador,Análisis de datos.,Monitorear estadísticas de uso y engagement de la plataforma.,Bajo,4,2,"0,38",21,
20,Administrador,Actualización de la plataforma.,Implementar nuevas características y mejoras.,Bajo,4,3,"0,35",34,
21,Administrador,Sistemas de gamificacion para administradores.,Implementar un sistema de recompensas para administradores activos.,Nulo,1,1,"0,05",21,
22,Usuario,Integracion con dispositivos IoT para mascotas.,Conectar y mostrar datos de collares o comedores inteligentes.,Nulo,2,1,"0,04",55,
23,Administrador,Gestión de contenido multilingüe.,Administrar traducciones y contenido en varios idiomas.,Nulo,1,1,"0,03",34,
24,Administrador,Integración con plataformas de streaming.,Configurar transmisiones en vivo de eventos de mascotas.,Nulo,1,1,"0,03",34,
25,Usuario,Realidad aumentada para mascotas.,Usar filtros AR para fotos y videos de mascotas.,Nulo,1,1,"0,02",55,
26,Usuario,Marketplace de NFTs de mascotas.,Crear y comerciar con NFTs basados en mascotas.,Nulo,1,1,"0,01",89,
